city,zpid,zipcode,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms
austin,111371325,78724,5662.0,1710,2.0,4
austin,29461308,78725,6446.0,1854,3.0,3
austin,60138195,78725,7797.0,1890,2.0,3
austin,29370415,78750,10890.0,1952,2.0,4
austin,120895893,78732,13939.2,4318,4.0,4
austin,80094819,78732,14810.4,4455,5.0,5
austin,29471186,78719,87120.0,1680,2.0,3
austin,29459807,78725,5532.0,1493,2.0,3
austin,29372913,78750,6098.0,3323,4.0,4
austin,58297966,78746,12632.4,2913,2.0,4
austin,70992306,78717,7274.0,1694,2.0,3
austin,80106317,78724,5967.0,1704,2.0,3
austin,29459805,78725,6229.0,1815,3.0,4
austin,29375911,78750,18730.8,3451,3.0,4
austin,55299476,78737,53578.8,3128,3.0,3
austin,58298400,78750,4268.0,1927,3.0,3
austin,29342388,78733,21780.0,2876,3.0,4
austin,29375910,78750,17424.0,2550,3.0,3
austin,111372812,78732,12196.8,4124,4.0,5
austin,145658177,78744,6621.0,1821,2.0,3
austin,29464187,78725,6359.0,1748,3.0,3
del valle,80104443,78617,4356.0,1341,2.0,3
austin,70336887,78735,12632.4,4095,4.0,5
austin,29361809,78734,25700.4,2076,3.0,3
austin,29343331,78746,4791.0,1616,2.0,2
austin,89552800,78725,6194.0,1432,3.0,3
del valle,70341938,78617,6534.0,1491,2.0,3
austin,96645484,78733,43560.0,10611,10.0,6
austin,121656827,78730,20908.8,4323,4.0,4
austin,29353897,78731,18730.8,2160,2.0,3
del valle,80102437,78617,5052.0,1586,2.0,4
austin,29372406,78750,10890.0,2742,3.0,4
austin,70330384,78733,43560.0,6530,7.0,5
austin,124149797,78717,6359.0,1977,2.0,3
austin,70345678,78725,4791.0,1522,2.0,4
austin,124845293,78732,14810.4,5162,5.0,5
austin,120896822,78730,12196.8,3004,4.0,3
austin,29395301,78724,7884.0,1110,2.0,3
del valle,70345937,78617,6011.0,1423,2.0,3
austin,58298396,78750,4268.0,1869,3.0,3
austin,58300404,78726,11325.6,4148,3.0,5
austin,60136380,78733,28314.0,2287,3.0,3
austin,29342316,78733,66211.2,5764,5.0,4
austin,111370793,78732,9888.0,2968,4.0,5
austin,80079467,78737,13068.0,4679,5.0,5
austin,251036659,78744,7152.0,2433,3.0,4
austin,29372402,78750,9888.0,2047,2.0,3
austin,116080293,78717,13068.0,1905,2.0,3
austin,120898376,78732,26571.6,4393,4.0,4
austin,70345672,78725,4660.0,2074,3.0,5
austin,29344810,78746,10890.0,1940,2.0,4
austin,80107289,78732,13939.2,4416,4.0,5
austin,29353999,78730,63597.6,5057,6.0,4
austin,29395299,78724,7230.0,1903,3.0,5
austin,145655653,78744,7405.0,2075,3.0,4
austin,89548288,78732,6316.0,2705,4.0,4
austin,29351394,78731,17424.0,2893,3.0,4
austin,29342304,78730,31798.8,3019,4.0,3
austin,29358887,78750,39639.6,2922,3.0,3
del valle,83819425,78617,5357.0,2322,3.0,4
austin,88027789,78717,8457.0,3468,4.0,5
austin,70345662,78725,4660.0,1272,2.0,3
austin,29372400,78750,9844.0,2774,2.0,3
austin,70333788,78732,9670.0,2883,3.0,4
austin,29351383,78731,9147.0,3560,3.0,5
del valle,80087925,78617,4965.0,1856,3.0,3
austin,89550796,78724,8755.0,1704,2.0,3
austin,111968786,78717,5837.0,1937,3.0,3
austin,70323862,78733,44431.2,4684,6.0,5
del valle,70341923,78617,6272.0,2691,3.0,4
austin,64634789,78724,8276.0,1274,2.0,3
austin,89651286,78717,7405.0,1844,2.0,3
austin,60136362,78733,23086.8,952,1.0,1
del valle,29470419,78617,6969.0,1466,3.0,3
austin,121656881,78750,6368.0,1790,3.0,2
austin,64842284,78724,4617.0,1450,3.0,3
austin,2086373955,78737,9583.0,3400,4.0,4
austin,70345631,78725,5662.0,1436,2.0,3
austin,29368396,78759,12196.8,4079,5.0,5
del valle,145657415,78617,4965.0,2873,3.0,5
austin,114157955,78737,13068.0,2835,4.0,4
austin,29351381,78731,9408.0,3549,5.0,5
austin,64578358,78733,14374.8,3186,4.0,4
austin,125808623,78725,4617.0,1508,2.0,3
del valle,251029914,78617,10497.0,1591,2.0,3
austin,125887777,78732,10367.0,2758,4.0,4
austin,70330356,78733,109335.6,109292,0.0,5
austin,29351880,78730,43560.0,4087,4.0,4
austin,125934135,78744,5445.0,1617,2.0,3
austin,70992278,78717,6098.0,1995,3.0,3
del valle,70345913,78617,5401.0,1586,2.0,4
austin,29374395,78750,14810.4,2796,2.0,4
austin,2098913275,78725,6185.0,1100,2.0,3
austin,29353878,78731,16552.8,3602,4.0,4
austin,125090634,78744,4399.0,1489,2.0,3
austin,70352275,78732,54450.0,4000,4.0,5
austin,83829268,78724,8276.0,2088,3.0,4
austin,29351378,78731,12632.4,3972,5.0,4
austin,94882853,78732,8712.0,1859,2.0,3
driftwood,250399952,78619,43995.6,3800,4.0,4
austin,70345600,78725,4268.0,2026,3.0,5
austin,70992273,78717,9583.0,2801,4.0,4
austin,70352265,78730,20908.8,4069,4.0,5
austin,29377392,78750,16117.2,2776,3.0,4
del valle,70345908,78617,5401.0,1473,2.0,4
austin,114156945,78737,15681.6,3239,4.0,4
austin,251030597,78725,6185.0,2381,3.0,4
austin,29370392,78750,10105.0,2380,2.0,4
austin,64658848,78733,12196.8,3251,4.0,3
austin,185217270,78717,9583.0,1859,2.0,3
austin,29462580,78725,6403.0,1662,2.0,3
del valle,63712399,78617,6011.0,1985,2.0,3
austin,83830766,78724,5749.0,1532,2.0,3
austin,29342348,78733,43995.6,3343,4.0,4
austin,29353871,78731,31363.2,3360,4.0,4
austin,89547757,78732,6011.0,2045,2.0,3
austin,88021769,78717,7013.0,1837,2.0,3
austin,125805573,78725,4181.0,1550,2.0,3
austin,29336264,78746,9191.0,2333,3.0,3
austin,29395261,78724,6882.0,1278,2.0,3
austin,29353870,78731,9321.0,2933,3.0,4
austin,241930760,78725,6185.0,1308,3.0,3
austin,29342345,78733,50965.2,4299,4.0,4
austin,88027768,78717,4965.0,1880,3.0,3
austin,29353869,78731,19602.0,2453,2.0,3
austin,29375888,78750,17859.6,3297,3.0,4
austin,89556257,78724,10585.0,1776,3.0,4
austin,145656114,78744,6098.0,1297,2.0,3
del valle,29470392,78617,10890.0,1403,2.0,3
austin,29351365,78731,10454.0,2329,3.0,3
austin,70337262,78730,15681.6,3122,3.0,4
