city,zpid,zipcode,garageSpaces,hasAssociation,yearBuilt,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories
austin,80104386,78724,2,True,2007,6272.0,1761,2.0,4,1
austin,63835340,78724,0,True,2003,6882.0,1326,2.0,3,1
austin,29357366,78734,0,True,2013,16117.2,3700,4.0,5,2
austin,29368548,78726,3,True,1999,16988.4,3884,4.0,5,2
austin,67415405,78733,0,True,1987,13939.2,3076,3.0,4,1
austin,29353930,78731,0,False,1985,14374.8,2068,2.0,3,2
austin,88019360,78717,2,True,2007,8712.0,2708,3.0,4,2
austin,29363429,78750,0,True,1996,14374.8,2898,3.0,3,2
austin,80104364,78732,3,True,2011,19166.4,4597,5.0,4,2
pflugerville,249891101,78660,2,True,2019,8529.0,2193,3.0,4,2
austin,63835337,78724,2,True,2003,6098.0,1952,3.0,4,2
austin,29341393,78746,3,True,2005,59677.2,5261,4.0,5,2
austin,29566857,78750,2,False,1980,13503.6,1723,2.0,3,1
austin,29342404,78733,0,True,1979,24393.6,2110,3.0,3,2
austin,29368532,78726,2,True,1996,13068.0,2622,3.0,4,2
austin,83815356,78732,6,True,2005,182080.8,7158,7.0,6,2
austin,58298927,78750,0,True,1983,5096.0,1096,2.0,2,1
austin,29343391,78746,0,True,1983,21780.0,4840,4.0,4,2
austin,70352403,78732,3,True,2010,8886.0,4150,4.0,5,2
austin,80104481,78732,3,True,2008,13939.2,4549,6.0,5,2
austin,29363427,78750,0,True,1995,10006.0,2489,3.0,4,1
austin,70992349,78717,0,True,2007,6534.0,2030,3.0,3,2
austin,29341389,78746,0,True,1991,17859.6,3724,5.0,5,2
austin,90240400,78733,4,True,2005,62290.8,4616,4.0,5,2
austin,251034742,78744,0,True,2019,8398.0,2502,3.0,3,1
austin,58298426,78750,0,True,1978,5489.0,1747,2.0,3,1
austin,70330400,78733,4,True,2017,45302.4,5650,7.0,5,2
austin,29368530,78726,0,True,1992,11761.2,2484,3.0,4,2
austin,111372365,78724,0,True,2014,5749.0,1650,2.0,3,1
austin,111973229,78725,0,True,2001,5314.0,1178,2.0,3,1
austin,29344884,78730,0,False,1999,21780.0,4800,5.0,3,1
austin,241931861,78724,0,True,2018,4835.0,2470,3.0,3,2
austin,121657728,78725,0,True,2013,4181.0,1426,2.0,3,1
austin,55299492,78737,0,True,2001,69696.0,4417,6.0,4,1
austin,80104336,78732,0,True,2009,5662.0,1947,2.0,3,1
austin,70352400,78732,0,True,2011,9452.0,3335,4.0,4,2
austin,29341382,78746,2,True,1989,29620.8,3649,5.0,4,2
pflugerville,251030552,78660,0,True,2017,12196.8,2112,3.0,4,2
austin,70992345,78717,2,True,2007,8189.0,1815,3.0,3,2
austin,29462725,78725,0,True,2000,6534.0,1726,3.0,3,2
austin,29461328,78725,0,True,1998,5248.0,1692,2.0,3,1
austin,29340878,78733,3,True,1999,64904.4,3852,4.0,4,1
austin,55299490,78737,0,True,2011,83635.2,3750,3.0,4,1
austin,70352399,78732,0,True,2010,9452.0,4172,4.0,5,2
austin,29395357,78724,0,False,1975,6621.0,1116,2.0,4,1
austin,29462724,78725,2,True,2000,5445.0,1476,3.0,3,2
austin,29340875,78733,0,True,1996,73180.8,3652,4.0,4,2
austin,29368517,78726,0,True,1988,12632.4,2949,3.0,4,1
austin,83823333,78732,3,True,2007,12632.4,4326,6.0,5,2
pflugerville,120900046,78660,0,True,2013,6141.0,1652,2.0,3,1
austin,83833421,78730,3,True,2006,46609.2,4808,4.0,4,2
austin,70335832,78732,2,True,2005,10018.0,2746,3.0,4,1
austin,29370422,78750,0,True,1989,10367.0,3033,3.0,4,2
austin,70992341,78717,0,True,2007,7753.0,2015,3.0,3,2
austin,88023921,78750,0,True,2004,6272.0,2825,3.0,4,2
austin,29341366,78746,0,True,2002,67082.4,6078,6.0,4,2
austin,251033728,78744,2,True,2019,5985.0,2570,3.0,4,2
austin,70992334,78717,0,True,2007,6098.0,1626,2.0,3,1
pflugerville,120897535,78660,0,True,2014,9016.0,2502,3.0,4,2
austin,80093353,78724,2,True,2007,5706.0,1442,2.0,3,1
austin,29459824,78725,0,True,1996,5662.0,1898,3.0,3,2
