zpid,city,zipcode,latitude,longitude,yearBuilt,latestPrice,latest_salemonth,lotSizeSqFt,livingAreaSqFt,avgSchoolRating,numOfBathrooms,numOfBedrooms
29459899,austin,78725,30.24452972,-97.58594513,1987,155000,2,6534,1411,3,2,3
64812856,austin,78725,30.23264694,-97.59120178,2004,189000,6,4704,1892,3,3,3
185217434,austin,78717,30.49635887,-97.79760742,2008,339900,5,9757,2192,8.333333333,2,3
63835398,austin,78724,30.25343895,-97.58031464,2004,170000,4,10541,1268,2.666666667,2,3
70352461,austin,78732,30.35622597,-97.91169739,2009,759900,8,20908.8,4867,8.333333333,4,4
29396970,austin,78724,30.2884407,-97.64766693,1980,214500,5,6490,1306,3.666666667,2,3
29438718,austin,78753,30.40733528,-97.64958954,1993,275000,1,6272,2398,3,3,4
29370839,austin,78726,30.42627907,-97.86062622,2001,588000,5,8276,4274,7,4,4
2132333345,austin,78725,30.23693085,-97.57167816,2010,174900,3,2613,1372,3,3,3
29358978,austin,78750,30.3750248,-97.79694366,1983,595000,6,9796,2448,7,2,4
121658390,austin,78725,30.23735237,-97.57234955,2013,169900,7,5314,1250,3,3,2
89028960,austin,78732,30.34189606,-97.90794373,2009,625000,7,7797,3485,8.333333333,4,5
80093467,austin,78724,30.27799988,-97.63249969,2006,235000,3,9147,1526,3.666666667,2,3
250180857,austin,78744,30.15862846,-97.71546173,2017,359900,11,6185,2124,3.666666667,2,3
29372965,austin,78750,30.43119621,-97.81404877,1992,350000,2,7927,2965,8.666666667,3,4
185217429,austin,78717,30.49615479,-97.79851532,2008,449000,9,7666,3205,8.333333333,4,5
89551997,austin,78732,30.35143661,-97.91403961,2008,1799000,5,81021.6,5449,8.333333333,5,5
2089686965,austin,78724,30.29037285,-97.64277649,2018,425900,2,5837,2403,3.666666667,3,3
29370836,austin,78726,30.42441177,-97.8601532,2001,595000,11,13068,3939,7,4,5
29353976,austin,78730,30.36399841,-97.83609009,1998,993000,4,43560,3848,7,4,5
29459882,austin,78725,30.24493027,-97.58519745,1987,199000,12,5183,1786,3,2,4
2087922352,austin,78744,30.16120529,-97.71661377,2018,365990,3,6969,2289,3.666666667,3,3
29366834,austin,78732,30.41617393,-97.88702393,1975,240000,3,16988.4,596,7,1,2
70341343,austin,78725,30.22834969,-97.58968353,2005,95000,11,4486,2088,3,3,4
70338381,austin,78724,30.25310707,-97.57906342,2005,179900,8,9234,1206,2.666666667,2,3
29362475,austin,78750,30.3861599,-97.79894257,1988,735000,3,13939.2,3119,7,3,4
64533962,austin,78724,30.29021454,-97.64751434,2003,66900,7,5793,1160,3.666666667,2,3
29459881,austin,78725,30.24505043,-97.58512115,1987,195000,9,5357,2094,3,3,4
89552136,austin,78725,30.2141552,-97.63653564,2010,194900,1,4748,1096,3,2,3
29396959,austin,78724,30.28887177,-97.64627838,1980,229900,4,4617,1320,3.666666667,2,3
89545951,austin,78732,30.37109184,-97.91260529,2012,5474997,12,116305.2,7740,8.333333333,8,6
29353975,austin,78730,30.36372185,-97.83583069,1999,1150000,2,45302.4,4878,7,5,5
29373963,austin,78750,30.4354763,-97.78872681,1972,609900,10,27007.2,2873,8.666666667,3,4
79981880,austin,78725,30.23963165,-97.57859039,2014,230000,12,7535,1652,3,2,3
96636926,austin,78729,30.46333313,-97.78795624,2012,375000,4,5837,2406,6,2,3
