city,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
austin,78725,30.24393082,-97.5848465,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1987,179900,1,0,5,1,0,0,5880,1587,1.7,3,1457,13,2,4,1
austin,78725,30.22014999,-97.63470459,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2019,341054,2,0,2,0,0,0,5000,2643,3.133333333,3,1457,13,3,4,2
austin,78750,30.37620926,-97.7973175,1.98,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,1984,428000,10,0,1,2,2,0,8537,2576,2.833333333,7,1523,17,3,3,2
austin,78725,30.2273674,-97.58971405,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2005,185000,2,0,7,2,0,0,4312,1203,1.866666667,3,1457,13,2,3,1
austin,78717,30.4965477,-97.79748535,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2008,415000,2,0,3,2,0,0,10236,3257,1.866666667,8.333333333,1481,16,4,5,2
austin,78724,30.28300095,-97.62763977,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2009,249900,2,0,4,1,0,0,6098,1659,2.766666667,3.666666667,1085,11,3,3,2
austin,78732,30.35407639,-97.91303253,1.98,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,3,2006,725000,1,0,4,3,0,1,19166.4,3486,2.5,8.333333333,1533,17,4,4,2
austin,78725,30.23840714,-97.57384491,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Townhouse,2,2015,198000,4,0,4,2,1,1,6098,1321,2.2,3,1457,13,3,3,2
austin,78730,30.37429428,-97.80758667,1.98,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Single Family,4,1984,550000,7,0,3,2,0,0,55321.2,2100,4.833333333,7,1177,16,2,3,1
austin,78725,30.22450066,-97.62870026,1.98,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1995,179900,1,0,1,0,0,0,14374.8,1500,2.9,3,1457,13,2,3,1
austin,78725,30.24452972,-97.58594513,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1987,155000,1,0,4,1,0,0,6534,1411,1.666666667,3,1457,13,2,3,1
austin,78725,30.23264694,-97.59120178,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2004,189000,1,0,0,1,0,0,4704,1892,1.766666667,3,1457,13,3,3,2
austin,78717,30.49635887,-97.79760742,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2008,339900,1,0,3,2,0,0,9757,2192,1.9,8.333333333,1481,16,2,3,1
austin,78724,30.25343895,-97.58031464,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2004,170000,4,0,3,2,0,0,10541,1268,2.233333333,2.666666667,1478,13,2,3,1
austin,78732,30.35622597,-97.91169739,1.98,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,3,2009,759900,7,0,4,2,0,0,20908.8,4867,2.5,8.333333333,1533,17,4,4,2
austin,78724,30.2884407,-97.64766693,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,1980,214500,3,0,3,2,0,0,6490,1306,3.233333333,3.666666667,1085,11,2,3,1
austin,78753,30.40733528,-97.64958954,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1993,275000,3,0,3,1,0,0,6272,2398,1,3,1108,14,3,4,2
austin,78726,30.42627907,-97.86062622,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Single Family,0,2001,588000,3,0,3,1,0,0,8276,4274,2.1,7,1277,16,4,4,2
austin,78725,30.23693085,-97.57167816,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Condo,0,2010,174900,1,0,2,0,0,0,2613,1372,2.266666667,3,1457,13,3,3,1
austin,78750,30.3750248,-97.79694366,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,1983,595000,2,0,5,2,0,0,9796,2448,2.8,7,1523,17,2,4,2
austin,78725,30.23735237,-97.57234955,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2013,169900,1,0,4,0,0,0,5314,1250,2.266666667,3,1457,13,3,2,2
austin,78732,30.34189606,-97.90794373,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Single Family,0,2009,625000,4,0,4,1,1,0,7797,3485,2.766666667,8.333333333,1533,17,4,5,2
austin,78724,30.27799988,-97.63249969,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2006,235000,6,0,4,1,0,0,9147,1526,2.966666667,3.666666667,1085,11,2,3,1
austin,78744,30.15862846,-97.71546173,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2017,359900,3,0,3,1,0,0,6185,2124,3.2,3.666666667,1532,12,2,3,1
austin,78750,30.43119621,-97.81404877,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1992,350000,8,0,4,1,0,0,7927,2965,1.633333333,8.666666667,1632,16,3,4,2
austin,78717,30.49615479,-97.79851532,2.21,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2008,449000,1,0,0,3,2,0,7666,3205,1.9,8.333333333,1481,16,4,5,2
austin,78732,30.35143661,-97.91403961,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2008,1799000,2,0,1,2,0,0,81021.6,5449,2.533333333,8.333333333,1533,17,5,5,2
austin,78724,30.29037285,-97.64277649,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Single Family,0,2018,425900,1,0,2,0,0,0,5837,2403,2.966666667,3.666666667,1085,11,3,3,1
austin,78726,30.42441177,-97.8601532,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2001,595000,1,0,3,1,1,2,13068,3939,2,7,1277,16,4,5,2
austin,78730,30.36399841,-97.83609009,1.98,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Single Family,0,1998,993000,1,0,3,1,0,0,43560,3848,2,7,1381,16,4,5,2
austin,78725,30.24493027,-97.58519745,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1987,199000,1,0,4,1,0,0,5183,1786,1.666666667,3,1457,13,2,4,1
austin,78744,30.16120529,-97.71661377,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2018,365990,3,0,3,1,0,0,6969,2289,3.066666667,3.666666667,1532,12,3,3,1
austin,78732,30.41617393,-97.88702393,1.98,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Single Family,0,1975,240000,2,0,0,0,0,0,16988.4,596,3.3,7,1277,16,1,2,1
austin,78725,30.22834969,-97.58968353,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2005,95000,8,0,4,1,0,0,4486,2088,1.833333333,3,1457,13,3,4,2
austin,78724,30.25310707,-97.57906342,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2005,179900,2,0,3,2,0,0,9234,1206,2.266666667,2.666666667,1478,13,2,3,1
austin,78750,30.3861599,-97.79894257,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1988,735000,3,0,3,1,0,0,13939.2,3119,3.1,7,1523,17,3,4,2
austin,78724,30.29021454,-97.64751434,1.98,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,1,2003,66900,5,0,4,2,0,0,5793,1160,3.2,3.666666667,1085,11,2,3,1
austin,78725,30.24505043,-97.58512115,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1987,195000,1,0,3,1,0,0,5357,2094,1.7,3,1457,13,3,4,2
